Country,Current BCG Policy,World Bank Income Group,Start Year,End Year,Coverage,Changes,Change Details,Deaths 4/5/20,Population,Start Year (INT),End Year (INT),WBIG
Hungary,Yes,High income,1953,N/A,100%,None,None,34.0,9660351.0,1953.0,,3
Sri Lanka,Yes,Lower middle income,N/A,N/A,N/A,1981,Systematic BCG vaccination ceased,5.0,21413249.0,,,1
Canada,No,High income,2011 data: 1933-1954 in some provinces/territori5,2011 data: 1960s-70s except for Inuit and many on-reserve First Nations infants,N/A,2011 data: 1960s-1970s,2011 data: Discontinuation of routine BCG vaccination in many provinces/territories,,,,,3
Ecuador,No,Upper middle income,N/A,N/A,90%,None,Stopped revaccinations ,180.0,17643054.0,,,2
Venezuela,Yes,Upper middle income,N/A,N/A,99.90%,1993 & 2008,"1993: Revaccination stopped for school age, 2008: National BCG production discontinued",7.0,28435940.0,,,2
Croatia,Yes,High income,1948,N/A,98.60%,"2004-05, 2005, 2014 ",2004-5: Stopped revaccinations at the age of 8; 2005: Stopped TST at age of 2; 2014: Stopped revaccinations at the age of 13 ,15.0,4105267.0,1948.0,,3
Norway,No,High income,N/A,2009,Unkown,2009,BCG Vaccination no longer part of National Vaccination program,71.0,5421241.0,,2009.0,3
Iraq,Yes,Upper middle income,N/A,N/A,99.50%,"1947, 1984, 1999",1947: Local BCG vaccine production and usage in the country; 1984: Beginning of Expanded Program of Immunization (EPI) calling for routine BCG vaccination and revaccinations of BCG introduced; 1999: Revaccinations stopped ,61.0,40222493.0,,,2
South Africa,Yes,Upper middle income,1973,N/A,90.5% (98% for Western Cape),2000,"2000: stop Tokyo 1572 percutaneous, start Danish intradermal",11.0,59308690.0,1973.0,,2
Estonia,Yes,High income,Unknown,N/A,~90%,2004,Ceased revaccination at 7 yrs,15.0,1326535.0,,,3
Peru,Yes,Upper middle income,1945,N/A,80%,N/A,N/A,83.0,32971854.0,1945.0,,2
Gambia,Yes,Low income,1979,N/A,99%,None,None,,2416668.0,1979.0,,0
Saudi Arabia,Yes,High income,1968,N/A,98%,None,Ceased revaccination,34.0,34813871.0,1968.0,,3
Sudan,Yes,Lower middle income,1976,N/A,77%,None,N/A,,43849260.0,1976.0,,1
United Kingdom,No,High income,1953,2005,75%,2005,2005: vaccination of adolescents stopped only babies from families at risk get BCG,4934.0,67886011.0,1953.0,2005.0,3
Indonesia,Yes,Lower middle income,1999,N/A,92.2%%,None,None,198.0,273523615.0,1999.0,,1
Armenia,Yes,Lower middle income,1998,N/A,94%,2002,Approval of National BCG Calendar,7.0,2963243.0,1998.0,,1
El Salvador,Yes,Lower middle income,1970,N/A,85.40%,N/A,N/A,3.0,6486205.0,1970.0,,1
Philippines,Yes,Lower middle income,N/A,N/A,80%,N/A,N/A,152.0,109581078.0,,,1
Taiwan*,Yes,High income,2011 data: 1951,N/A,98.40%,"1953, 1958, 1965, 1979, 1997, 2016",1953: Strain shifted to Pasteur Institute; 1958: Strain shifted to new Pasteur strain; 1965: Vaccination of newborns and infants (previous vaccination target was school children with negative TST); 1979: BCG production using Tokyo 172 strain; 1997: Stopped revaccinations; 2016: Delay vaccination time to 5-8 months after bith or less than 1 year old,5.0,23816775.0,,,3
Portugal,Yes,High income,N/A,N/A,93.70%,2005,"2005: single BCG at birth only, ceased revaccination at 7 yrs, followed by TST and BCG if negative",295.0,10196709.0,,,3
Bahamas,Yes,High income,N/A,N/A,98%,2016,Stopped revaccinations ,,393244.0,,,3
Cabo Verde,Yes,Lower middle income,N/A,N/A,98%,2016,Stopped revaccinations ,,555987.0,,,1
Slovenia,No,High income,1947,2005,96%,1997 & 2005,1997: Ceased revaccination at 14 & 15 yrs. 2005: Stop nonselective BCG vaccination,28.0,2078938.0,1947.0,2005.0,3
Afghanistan,Yes,Low income,N/A,N/A,46%,None,None,7.0,38928346.0,,,0
Guatemala,Yes,Lower middle income,N/A,N/A,DK,1951 & 1975,"Histories different for West and East Germany (East: 1951, revacc of TST neg at age 15years, also used different strains, more info in questionnaire...1975- move to vaccinate high risk kids only",2.0,17915568.0,,,1
Morocco,Yes,Lower middle income,N/A,N/A,95%,"1998, 2004-2005, 2005, 2007",1998: Revaccination ceased for school age children. 2004-2005: Mosku strain used. 2005: Tokyo strain 172 (Japan Institute) used by National Health Services because of different logistic problems to obtain Danish strain.2007: NTP deevelopped w,70.0,36910560.0,,,1
San Marino,Yes,High income,N/A,N/A,>90%,1992-1993,Ceased revaccination,32.0,33931.0,,,3
India,Yes,Lower middle income,1948,N/A,99%,"1948, 1949, 1951, 1978 & 1985","1948: BCG intro as pilot project, 1949: Immunization program in schools, 51-59 Mass immunization campaigns. 1978: extended program of immunization to be given at birth or within 1st mo, 1985: universal immunization program BCG vaccine policy continued as earlier",99.0,1380004385.0,1948.0,,1
Iran,Yes,Upper middle income,1984,N/A,99.50%,"1947, 1984, 1999",1947: Local BCG vaccine production and usage in the country; 1984: Beginning of Expanded Program of Immunization (EPI) calling for routine BCG vaccination and revaccinations of BCG introduced; 1999: Revaccinations stopped ,,,1984.0,,2
Romania,Yes,Upper middle income,1928,N/A,>90%,1992-1993,Ceased revaccination,151.0,19237691.0,1928.0,,2
Malaysia,Yes,Upper middle income,N/A,N/A,85%,2007,Revaccination ceased,61.0,32365999.0,,,2
Poland,Yes,High income,1955,N/A,93.70%,2005,"2005: single BCG at birth only, ceased revaccination at 7 yrs, followed by TST and BCG if negative",94.0,37846611.0,1955.0,,3
