Last updated in 2011,,
Region,,Middle East & North Africa
TB Incidence (per 100 000 per year) * †,,75
TB Incidence (Count) * ‡,,30000
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Timing of 1st BCG?,,At birth or within 4 wks
Datasource,,Published data
Multiple BCG in the past?,,No
BCG Strain,,Danish Statens Serum Institute 1331
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2015
BCG coverage (%),,46%
Year of changes to BCG schedule,,None
Details of changes,,None
Are there special groups that receive BCG?,,No
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm
BCG Supply Company ,,Green Signal Bio Pharma Ltd. 
Were there shortages/stockouts of the vaccine? ,,Yes
Is the BCG vaccination policy regularly assessed?,,No
Process of Assessment (if not regular) ,,BCG policy is reassessed when all epidemiological policies are reassessed. 
BCG Policy Link ,,In Pashto: http://moph.gov.af/Content/Media/Documents/NationalTBGuideline309201291046938553325325.pdf
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire
