Last updated in 2011,,
Region,,Latin America & Caribbean
TB Incidence (per 100 000 per year) * †,,25
TB Incidence (Count) * ‡,,11000
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,Unknown
Timing of 1st BCG?,,At birth
Multiple BCG?,,No
Multiple BCG in the past?,,Yes
Timing of old BCG #2,,6 yrs
Timing of old BCG #3,,16 yrs
Year booster BCG stopped,,1995 & 2007
BCG Strain,,Anlis Malbran
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2007
BCG coverage (%),,95%
Year of changes to BCG schedule,,1995 & 2007
Details of changes,,"1995: Ceased revaccination at 16 yrs, 2007: Ceased revaccintion at 6 yrs."
Are there special groups that receive BCG?,,No
Datasource,,Questionnaire
Process of Assessment (if not regular) ,,BCG policy is reassessed when all epidemiological policies are reassessed. 
BCG Policy Link ,,In Pashto: http://moph.gov.af/Content/Media/Documents/NationalTBGuideline309201291046938553325325.pdf
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire
