Last updated in 2017,,
Region,,South Asia
TB Incidence (per 100 000 per year) * †,,225
TB Incidence (Count) * ‡,,362000
Income group (World Bank),,Lower middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,1979
Timing of 1st BCG?,,At birth (up to 1 year of age)
Multiple BCG?,,No
Multiple BCG in the past?,,No
BCG Strain,,Serum Institute of India
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2015
BCG coverage (%),,99%
Year of changes to BCG schedule,,None
Details of changes,,None
Are there special groups that receive BCG?,,No
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm
BCG Manufacturer ,,Serum Institute of India 
BCG Supply Company ,,Serum Institute of India 
How long has this BCG vaccine strain been used? ,,Since 1979 (38 years)
Were there shortages/stockouts of the vaccine? ,,No
Is the BCG vaccination policy regularly assessed?,,No
Process of Assessment (if not regular) ,,BCG policy is reassessed by the monitoring system of the EPI program. 
BCG Policy Link ,,http://nimc.portal.gov.bd/sites/default/files/files/nimc.portal.gov.bd/page/6c53bd88_ad69_4ccf_bbae_d45b70dbc0bf/005%20National%20Immunization%20Policy%20Bangladesh%202013.pdf
Datasource,,Questionnaire
