Last updated in 2017,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,9
TB Incidence (Count) * ‡,,1100
Income group (World Bank),,High income
Current BCG vaccination?,,No
BCG Recommendation Type,,BCG recommendation only for specific groups or none at all
BCG Strain,,"Mostly Pasteur Institute, Paris; also Statens Serum Institute"
Is TST done post BCG?,,Yes
Year of changes to BCG schedule,,"1989, 1995, 2013"
Details of changes,,"1989: Stopped vaccinations for healthcare or other at-risk workers, medical/nursing students; 1995: Targeted population reduced to TST negative persons, mostly children of parents from high-risk countries; 2013: BCG vaccine considered optional to 1. children of parents from high-risk countries < age of 5 2. persons working in healthcare 3. healthcare workers in contact with multi-drug resistant TB patients "
Are there special groups that receive BCG?,,Yes
Details on special/high risk groups,,Children and health care workers in prolonged exposure settings or at high risk 
Is TST administered pre-BCG vaccination? ,,Yes
Location of Administration of BCG Vaccine ,,Upper arm
BCG Manufacturer ,,"RIVM (Netherlands), Merieux Institute (France), Sanofi Pasteur (France), and Statens Serum Institute (Denmark) "
BCG Supply Company ,,"RIVM (Netherlands), Merieux Institute (France), Sanofi Pasteur (France), and Statens Serum Institute (Denmark) "
How long has this BCG vaccine strain been used? ,,67 years (with Pasteur Institute Strain produced in Belgium)
Were there shortages/stockouts of the vaccine? ,,Yes 
Details of shortages/stockouts ,,"Post 1989, after national production was stopped, BCG was no more available on the market in Belgium and had to be imported. Due to shortages in manufacturers, BCG could not be imported from 2015-16. Currently, it is impossible to administer the BCG vaccine in Belgium. "
Is the BCG vaccination policy regularly assessed?,,Yes 
How often is the policy assessed? ,,Every 10 years
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire 
Is the BCG vaccination policy regularly assessed?,,No
Process of Assessment (if not regular) ,,BCG policy is reassessed by the monitoring system of the EPI program. 
BCG Policy Link ,,http://nimc.portal.gov.bd/sites/default/files/files/nimc.portal.gov.bd/page/6c53bd88_ad69_4ccf_bbae_d45b70dbc0bf/005%20National%20Immunization%20Policy%20Bangladesh%202013.pdf
Datasource,,Questionnaire
