Last updated in 2011,,
Region,,Sub-Saharan Africa
TB Incidence (per 100 000 per year) * †,,356
TB Incidence (Count) * ‡,,8000
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Timing of 1st BCG?,,At birth
Datasource,,Published data
Multiple BCG?,,No
Multiple BCG in the past?,,Yes
Timing of old BCG #2,,3 yrs 
Timing of old BCG #3,,"5, 7, 13 & 19 yrs"
Year booster BCG stopped,,1996
BCG Strain,,Pasteur's Institute Paris
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2008
BCG coverage (%),,97%
Year of changes to BCG schedule,,1996
Details of changes,,"Revaccination ceased, now only vaccinated at birth."
Are there special groups that receive BCG?,,No
Is BCG Vaccination Recommended For HIV-Positive Babies?,,Yes
Datasource,,Questionnaire
Datasource,,Questionnaire 
Is the BCG vaccination policy regularly assessed?,,No
Process of Assessment (if not regular) ,,BCG policy is reassessed by the monitoring system of the EPI program. 
BCG Policy Link ,,http://nimc.portal.gov.bd/sites/default/files/files/nimc.portal.gov.bd/page/6c53bd88_ad69_4ccf_bbae_d45b70dbc0bf/005%20National%20Immunization%20Policy%20Bangladesh%202013.pdf
Datasource,,Questionnaire
