Last updated in 2011,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,24
TB Incidence (Count) * ‡,,1700
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,1951
Timing of 1st BCG?,,At birth
Multiple BCG?,,No
Multiple BCG in the past?,,Yes
Timing of old BCG #2,,7 months
Timing of old BCG #3,,"7, 11 & 17 yrs"
BCG Strain,,Sl222 Sofia (BCG) BulBio-NCIPD
Is TST done post BCG?,,Yes
Year of BCG coverage estimate,,2006
BCG coverage (%),,98%
Year of changes to BCG schedule,,None
Details of changes,,None
Are there special groups that receive BCG?,,No
Datasource,,Questionnaire
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Right upper arm
BCG Manufacturer ,,Funda
BCG Supply Company ,,Funda
How long has this BCG vaccine strain been used? ,,49 years
Were there shortages/stockouts of the vaccine? ,,Yes 
Details of shortages/stockouts ,,"In 2015, there were partial shortages in the months of January, March, April, May and September, and a total shortage in February. In 2016, there were partial shortages in June, July, Novermber, and December and a total shortage in August. "
Is the BCG vaccination policy regularly assessed?,,No 
Process of Assessment (if not regular) ,,Ad hoc 
BCG Policy Link ,,http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf [Portuguese] BCG information on pages 69 to 73
Additional Comments ,,"BCG vaccination for all children between birth to the first month of life. A second dose is given to those with Hansen's disease/leprosy. BCG is contraindicated in children with HIV, but not in children who have been exposed to HIV at birth, as there is no confirmation of infection. Vaccine coverage is assessed every 4 months and the National Immunization Program recommends that municipalities with low adopt measures to achieve adequate coverage. "
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No 
Datasource,,Questionnaire 
