Last updated in 2011,,,,Latin America & Caribbean
Region,,Sub-Saharan Africa,,
TB Incidence (per 100 000 per year) * †,,139,,
TB Incidence (Count) * ‡,,720,,
Income group (World Bank),,Lower middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Timing of 1st BCG?,,At birth,,
Datasource,,Published data,,
Multiple BCG in the past?,,Yes ,,
Timing of old BCG #2,,6 years,,
Timing of old BCG #3,,12 years,,
Year booster BCG stopped,,2016,,
BCG Strain,,Danish,,
Is TST done post BCG?,,Yes,,
Year of BCG coverage estimate,,2015,,
BCG coverage (%),,98%,,
Year of changes to BCG schedule,,2016,,
Details of changes,,Stopped revaccinations ,,
Are there special groups that receive BCG?,,No ,,
Is TST administered pre-BCG vaccination? ,,No,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Mikrogen Russia,,
BCG Supply Company ,,Mikrogen Russia,,
Were there shortages/stockouts of the vaccine? ,,No ,,
Is the BCG vaccination policy regularly assessed?,,Yes ,,
How often is the policy assessed? ,,Every 5 years ,,
BCG Policy Link ,,http://www.rnpcpf.by/ru/organizacionno-metodicheskaya-rabota/normativno-pravovye-akty-po-slujbe.html?download=33%3A23.05.2012-622,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No ,,
Datasource,,Questionnaire,,
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG.",,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage),,
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
