Last updated in 2011,,
Region,,Latin America & Caribbean
TB Incidence (per 100 000 per year) * †,,31
TB Incidence (Count) * ‡,,15000
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,1960
Timing of 1st BCG?,,At birth
Multiple BCG?,,No
Multiple BCG in the past?,,No
BCG Strain,,Pasteur 1173
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2000
BCG coverage (%),,80-90%
Year of changes to BCG schedule,,None
Details of changes,,No
Are there special groups that receive BCG?,,No
Datasource,,Questionnaire
Location of Administration of BCG Vaccine ,,Upper arm 
BCG Manufacturer ,,Japan BCG Laboratory
BCG Supply Company ,,Japan BCG Laboratory 
Were there shortages/stockouts of the vaccine? ,,Yes
Details of shortages/stockouts ,,Supply shortage of approximately 6 months was experienced in 2012 after Sanofi Pasteur ceased production. Canada contracted for supply with the Japan BCG Laboratory in August 2012 and no supply disruptions have been experienced since that time. 
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,Every 4 years
BCG Policy Link ,,https://www.canada.ca/en/public-health/services/publications/healthy-living/canadian-immunization-guide-part-4-active-vaccines/page-2-bacille-calmette-guerin-vaccine.html
Additional Comments ,,"The information provided in the questionnaire is from the Canadian Immunization Guide, which is published by the Public Health Agency of Canada. The implementation of BCG vaccine policies are the responsibility of the individual provinces and territories in Canada. Therefore, the specific policies implemented in an individual province or territory may vary from the guidance provided in the Canadian Immunization Guide. "
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire
BCG Policy Link ,,http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf [Portuguese] BCG information on pages 69 to 73
Additional Comments ,,"BCG vaccination for all children between birth to the first month of life. A second dose is given to those with Hansen's disease/leprosy. BCG is contraindicated in children with HIV, but not in children who have been exposed to HIV at birth, as there is no confirmation of infection. Vaccine coverage is assessed every 4 months and the National Immunization Program recommends that municipalities with low adopt measures to achieve adequate coverage. "
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No 
Datasource,,Questionnaire 
