Last updated in 2017,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,13
TB Incidence (Count) * ‡,,560
Income group (World Bank),,High income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,1948
Timing of 1st BCG?,,At birth (up to 1 year of age) 
Multiple BCG?,,No 
Multiple BCG in the past?,,Yes 
Timing of old BCG #2,,8 years
Timing of old BCG #3,,13 years
Year booster BCG stopped,,2014
BCG Strain,,"Moreau, Brazilian strain "
Is TST done post BCG?,,No 
Year of BCG coverage estimate,,2015
BCG coverage (%),,98.60%
Year of changes to BCG schedule,,"2004-05, 2005, 2014 "
Details of changes,,2004-5: Stopped revaccinations at the age of 8; 2005: Stopped TST at age of 2; 2014: Stopped revaccinations at the age of 13 
Are there special groups that receive BCG?,,Yes 
Details on special/high risk groups,,Laboratory healthcare workers 
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm
BCG Manufacturer ,,BIOmed Lublin
BCG Supply Company ,,Medoka
How long has this BCG vaccine strain been used? ,,2 years
Were there shortages/stockouts of the vaccine? ,,Yes 
Details of shortages/stockouts ,,1-2 months in 2015
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,Every 2 years
BCG Policy Link ,,www.hzjz.hr
Additional Comments ,,The country is currently considering stopping universal BCG vaccination and changing to targeted BCG vaccination. 
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire 
