Last updated in 2017,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,5
TB Incidence (Count) * ‡,,550
Income group (World Bank),,High income
Current BCG vaccination?,,No
BCG Recommendation Type,,Past national BCG vaccination policy for all
Which year was vaccination introduced?,,1953
Year BCG stopped?,,2010
Timing of 1st BCG?,,At birth (up to 1 year of age) - Before 6 weeks of age 
Multiple BCG?,,No
Multiple BCG in the past?,,Yes 
Timing of old BCG #2,,11 years
Year booster BCG stopped,,2009
BCG Strain,,Moreau 
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2014
BCG coverage (%),,80% (of targeted) 
Year of changes to BCG schedule,,"1986-93, 1994, 2001, 2009, 2010, 2015 "
Details of changes,,"1986-93: Stopped universal BCG vaccination in 3 regions; 1994: Russian vaccine replaced by Behring Danish strain; 2001: Stopped vaccination of special groups (i.e. healthcare workers at risk); 2009: Stopped revaccinations; 2010: Changed from universal vaccination to selective vaccination upon request (voluntary); 2015: Danish SSI BCG replaced by Polish BCG, Biomed Lublin "
Are there special groups that receive BCG?,,Yes 
Details on special/high risk groups,,Infants at increased risk of TB 
Why was the policy discontinued? (if applicable),,1. High reactogenity and low efficacy/effectiveness of the vaccine 2. Low TB incidence 
What was the process of discontinuation? (if applicable) ,,Lengthy process with discussions and debates between advocates and opponents of stopping universal vaccination 
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm 
BCG Manufacturer ,,"Polish BCG, Biomed Lublin"
BCG Supply Company ,,"Polish BCG, Biomed Lublin"
How long has this BCG vaccine strain been used? ,,2 years
Were there shortages/stockouts of the vaccine? ,,Yes 
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG."
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage)
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire 
