Last updated in 2017,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,6
TB Incidence (Count) * ‡,,340
Income group (World Bank),,High income
Current BCG vaccination?,,No
BCG Recommendation Type,,Past national BCG vaccination policy for all
Which year was vaccination introduced?,,1946
Year BCG stopped?,,1986
Timing of 1st BCG?,,At birth (up to 1 year of age) 
Multiple BCG?,,No
Multiple BCG in the past?,,No
BCG Strain,,Danish Statens Serum Institute
Is TST done post BCG?,,No
Year of BCG coverage estimate,,1970
BCG coverage (%),,>80%
Year of changes to BCG schedule,,"1927, 1946, 1980s, 1986, 1990"
Details of changes,,1927: BCG vaccine first introduced to Denmark; 1946: Mandatory universal vaccination; 1980s: Universal vaccination discontinuation begins; 1986: Last county in Denmark discontinues universal vaccination; 1990: BCG vaccination removed as official reccommendation for childhood vaccination
Are there special groups that receive BCG?,,Yes
Details on special/high risk groups,,"Children travelling for long periods of time high TB burden countries, or living in Denmark in families with TB, or healthcare workers working specifically with TB patients (or in a TB lab)"
Why was the policy discontinued? (if applicable),,Cost benefit - the BCG vaccine would only prevent very few cases per year
What was the process of discontinuation? (if applicable) ,,Cost benefit calculations
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm
How long has this BCG vaccine strain been used? ,,90 years (since 1927)
Were there shortages/stockouts of the vaccine? ,,Yes
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,~ 5 years
Process of Assessment (if not regular) ,,N/A
Datasource,,Questionnaire
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG."
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage)
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire 
