Last updated in 2017,,,,Europe & Central Asia
Region,,Latin America & Caribbean,,
TB Incidence (per 100 000 per year) * †,,43,,
TB Incidence (Count) * ‡,,2700,,
Income group (World Bank),,Lower middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1970,,
Timing of 1st BCG?,,At birth (up to 1 year of age) ,,
Multiple BCG?,,No,,
BCG Strain,,Pasteur Institute,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2016,,
BCG coverage (%),,85.40%,,
Are there special groups that receive BCG?,,No,,
Is TST administered pre-BCG vaccination? ,,No,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Serum Institute of India ,,
BCG Supply Company ,,Serum Institute of India ,,
How long has this BCG vaccine strain been used? ,,> 10 years ,,
Were there shortages/stockouts of the vaccine? ,,Yes ,,
Details of shortages/stockouts ,,3 months in 2014,,
Is the BCG vaccination policy regularly assessed?,,Yes ,,
How often is the policy assessed? ,,Every year,,
Additional Comments ,,"BCG vaccine is contraindicated in children weighing less than 2500 grams, children of HIV positive mother, children who have their immunity compromised by congenital immunodeficiency, AIDS leukemis, lymphoma, immune response suppressed by steroids, antimetabolites or radiation. ",,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
BCG Policy Link ,,http://www.rnpcpf.by/ru/organizacionno-metodicheskaya-rabota/normativno-pravovye-akty-po-slujbe.html?download=33%3A23.05.2012-622,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No ,,
Datasource,,Questionnaire,,
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG.",,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage),,
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
