Last updated in 2011,,,,Europe & Central Asia
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,18,,
TB Incidence (Count) * ‡,,240,,
Income group (World Bank),,High income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,Unknown,,
Timing of 1st BCG?,,At birth,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,7 yrs ,,
Year booster BCG stopped,,2003,,
BCG Strain,,Danish,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2007,,
BCG coverage (%),,~90%,,
Year of changes to BCG schedule,,2004,,
Details of changes,,Ceased revaccination at 7 yrs,,
Are there special groups that receive BCG?,,No,,
Datasource,,Questionnaire,,
Details of shortages/stockouts ,,3 months in 2014,,
Is the BCG vaccination policy regularly assessed?,,Yes ,,
How often is the policy assessed? ,,Every year,,
Additional Comments ,,"BCG vaccine is contraindicated in children weighing less than 2500 grams, children of HIV positive mother, children who have their immunity compromised by congenital immunodeficiency, AIDS leukemis, lymphoma, immune response suppressed by steroids, antimetabolites or radiation. ",,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
BCG Policy Link ,,http://www.rnpcpf.by/ru/organizacionno-metodicheskaya-rabota/normativno-pravovye-akty-po-slujbe.html?download=33%3A23.05.2012-622,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No ,,
Datasource,,Questionnaire,,
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG.",,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage),,
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
