Last updated in 2011,,,,Europe & Central Asia
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,6,,
TB Incidence (Count) * ‡,,310,,
Income group (World Bank),,High income,,
Current BCG vaccination?,,No,,
BCG Recommendation Type,,Past national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1941,,
Year BCG stopped?,,2006,,
Timing of 1st BCG?,,At birth,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,schoolage (if TST negative),,
Year booster BCG stopped,,1990,,
BCG Strain,,Danish Statens Serum Institute,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2006,,
BCG coverage (%),,98%,,
Year of changes to BCG schedule,,"1971, 1978, 1990, 2002 & 2006",,
Details of changes,,"1971: Gothenburg BCG; 1978: Glaxo-Evans strain; 1990:TST and revaccintion of schoolchildren stopped 2002: Danish SSI, 2006: Ceased mass BCG vaccination, start target selected groups",,
Are there special groups that receive BCG?,,Yes,,
Details on special/high risk groups,,"kids of immigrant families (from high inc countries), kids living with relative with TB, kids in high inc coutries for prolongeed stay, kids whose families request BCG, older kids from high inc countries who have yet to start school.",,
Datasource,,Questionnaire,,
How often is the policy assessed? ,,Every year,,
Additional Comments ,,"BCG vaccine is contraindicated in children weighing less than 2500 grams, children of HIV positive mother, children who have their immunity compromised by congenital immunodeficiency, AIDS leukemis, lymphoma, immune response suppressed by steroids, antimetabolites or radiation. ",,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
BCG Policy Link ,,http://www.rnpcpf.by/ru/organizacionno-metodicheskaya-rabota/normativno-pravovye-akty-po-slujbe.html?download=33%3A23.05.2012-622,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No ,,
Datasource,,Questionnaire,,
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG.",,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage),,
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
