Last updated in 2011,,,,Europe & Central Asia
Region,,Sub-Saharan Africa,,
TB Incidence (per 100 000 per year) * †,,465,,
TB Incidence (Count) * ‡,,8000,,
Income group (World Bank),,Upper middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Timing of 1st BCG?,,At birth,,
Datasource,,Published data,,
Timing of 1st BCG?,,At birth (up to 1 year of age) - Between Day 1 and day of discharge ,,
Multiple BCG?,,No ,,
Multiple BCG in the past?,,Yes ,,
Timing of old BCG #2,,No defined ages - second dose recommended as long as TST is negative,,
Year booster BCG stopped,,2004,,
BCG Strain,,Statens Serum Institute ,,
Is TST done post BCG?,,No ,,
Year of BCG coverage estimate,,2013,,
Year of changes to BCG schedule,,"2004, 2006, 2007",,
Details of changes,,2004: Stopped revaccinations of children and adults of certain professions; 2004: Routine tuberculin tests stopped; 2006: Multipuncture (Monovax) replaced by BCG ID (BCG SSI); 2007: Compulsory vaccination suspended and replaced by targeted vaccination of high-risk children ,,
Are there special groups that receive BCG?,,Yes ,,
Details on special/high risk groups,,1. Health and social professionals 2. Children at risk (mainly with a family history of TB and whose parents originate from a high incidence TB country,,
Why was the policy discontinued? (if applicable),,"The main reason was the decrease of TB incidence, with national levels below 10 cases/100,000 population since the beginning of 2000 ",,
What was the process of discontinuation? (if applicable) ,,"1. Two main situational analyses done by French public health and academic institutions 2. Meetings between ethics committees 3. National meeting in November 2006 between institutions, stakeholders, partners, etc. concerned by BCG vaccination discussing pros and cons 4. Advisory committee (Conseil sup_rieur d'hygi",,
Is TST administered pre-BCG vaccination? ,,Yes,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Statens Serum Institute (curreng shortage causing temporary shift to Biomed Lublin on a provisional basis),,
BCG Supply Company ,,Sanofi Pasteur,,
How long has this BCG vaccine strain been used? ,,9 years ,,
Were there shortages/stockouts of the vaccine? ,,Yes ,,
Details of shortages/stockouts ,,"Currently experiencing shortage of BCG SSI. Therefore, the vaccine has been temporarily replaced by BCG Biomed Lublin, Polish vaccine (Moreau strain) ",,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc ,,
BCG Policy Link ,,http://social-sante.gouv.fr/IMG/pdf/Calendrier_vaccinal_2015.pdf,,
Additional Comments ,,The policy of immediate BCG vaccination is still under discussion. The policy might change to recommendation of BCG vaccination after one month of age later in 2017. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
