Last updated in 2017,,,,Europe & Central Asia
Region,,East Asia & Pacific,,
TB Incidence (per 100 000 per year) * †,,395,,
TB Incidence (Count) * ‡,,1020000,,
Income group (World Bank),,Lower middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1999,,
Timing of 1st BCG?,,At birth (up to 1 year of age) - 0-2 months,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,No,,
BCG Strain,,Pasteur Institute (Paris),,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2015,,
BCG coverage (%),,92.2%%,,
Year of changes to BCG schedule,,None,,
Details of changes,,None,,
Are there special groups that receive BCG?,,No,,
Is TST administered pre-BCG vaccination? ,,No,,
Location of Administration of BCG Vaccine ,,Right upper arm,,
BCG Manufacturer ,,Biofarma,,
Were there shortages/stockouts of the vaccine? ,,No,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,A national TB expert gives assistance to Minister of Health if there is need for any change to the policy. ,,
BCG Policy Link ,,http://pppl.depkes.go.id/_asset/_regulasi/92_PMK%20No.%2042%20ttg%20Penyelenggaraan%20Imunisasi.pdf ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
How long has this BCG vaccine strain been used? ,,9 years ,,
Were there shortages/stockouts of the vaccine? ,,Yes ,,
Details of shortages/stockouts ,,"Currently experiencing shortage of BCG SSI. Therefore, the vaccine has been temporarily replaced by BCG Biomed Lublin, Polish vaccine (Moreau strain) ",,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc ,,
BCG Policy Link ,,http://social-sante.gouv.fr/IMG/pdf/Calendrier_vaccinal_2015.pdf,,
Additional Comments ,,The policy of immediate BCG vaccination is still under discussion. The policy might change to recommendation of BCG vaccination after one month of age later in 2017. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
