Last updated in 2011,,,,Europe & Central Asia
Region,,Middle East & North Africa,,
TB Incidence (per 100 000 per year) * †,,43,,
TB Incidence (Count) * ‡,,16000,,
Income group (World Bank),,Upper middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Timing of 1st BCG?,,At birth,,
Datasource,,Published data,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,6 years,,
Year booster BCG stopped,,1999,,
BCG Strain,,Pasteur Institute 1173-P2,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2016,,
BCG coverage (%),,99.50%,,
Year of changes to BCG schedule,,"1947, 1984, 1999",,
Details of changes,,1947: Local BCG vaccine production and usage in the country; 1984: Beginning of Expanded Program of Immunization (EPI) calling for routine BCG vaccination and revaccinations of BCG introduced; 1999: Revaccinations stopped ,,
Are there special groups that receive BCG?,,No,,
Is TST administered pre-BCG vaccination? ,,No,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Pasteur Institute of Iran ,,
How long has this BCG vaccine strain been used? ,,32 years,,
Were there shortages/stockouts of the vaccine? ,,No,,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,5 years,,
BCG Policy Link ,,UNK ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc ,,
BCG Policy Link ,,http://social-sante.gouv.fr/IMG/pdf/Calendrier_vaccinal_2015.pdf,,
Additional Comments ,,The policy of immediate BCG vaccination is still under discussion. The policy might change to recommendation of BCG vaccination after one month of age later in 2017. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
