Last updated in 2011,,,,Europe & Central Asia
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,7,,
TB Incidence (Count) * ‡,,340,,
Income group (World Bank),,High income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1950s,,
Timing of 1st BCG?,,At birth,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,11-12 yrs,,
Year booster BCG stopped,,1996,,
BCG Strain,,Danish SSI 1331,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2007,,
BCG coverage (%),,94%,,
Year of changes to BCG schedule,,1996 & 2001,,
Details of changes,,"1996: stopped boosters, 2002: changed from evans BCG copenhagen 1077 to Danish SSI 1331",,
Are there special groups that receive BCG?,,No,,
Datasource,,Questionnaire,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Pasteur Institute of Iran ,,
How long has this BCG vaccine strain been used? ,,32 years,,
Were there shortages/stockouts of the vaccine? ,,No,,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,5 years,,
BCG Policy Link ,,UNK ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc ,,
BCG Policy Link ,,http://social-sante.gouv.fr/IMG/pdf/Calendrier_vaccinal_2015.pdf,,
Additional Comments ,,The policy of immediate BCG vaccination is still under discussion. The policy might change to recommendation of BCG vaccination after one month of age later in 2017. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
