Last updated in 2011,,,,Europe & Central Asia
Region,,Middle East & North Africa,,
TB Incidence (per 100 000 per year) * †,,4,,
TB Incidence (Count) * ‡,,320,,
Income group (World Bank),,High income,,
Current BCG vaccination?,,No,,
BCG Recommendation Type,,Past national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1955,,
Timing of 1st BCG?,,At birth,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,No,,
BCG Strain,,Unsure,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,1982,,
BCG coverage (%),,>90%,,
Year of changes to BCG schedule,,1982,,
Details of changes,,Ceasing routine newborn vaccination,,
Are there special groups that receive BCG?,,Yes,,
Details on special/high risk groups,,"newborns and children with high risk for example, babies from families that immigrated from endemic countries",,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Pasteur Institute of Iran ,,
How long has this BCG vaccine strain been used? ,,32 years,,
Were there shortages/stockouts of the vaccine? ,,No,,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,5 years,,
BCG Policy Link ,,UNK ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc ,,
BCG Policy Link ,,http://social-sante.gouv.fr/IMG/pdf/Calendrier_vaccinal_2015.pdf,,
Additional Comments ,,The policy of immediate BCG vaccination is still under discussion. The policy might change to recommendation of BCG vaccination after one month of age later in 2017. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire ,,
