Last updated in 2017,,,,Europe & Central Asia
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,9,,
TB Incidence (Count) * ‡,,900,,
Income group (World Bank),,High income,,
Current BCG vaccination?,,No,,
BCG Recommendation Type,,Past national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1940,,
Year BCG stopped?,,1975,,
Timing of 1st BCG?,,After birth (up to 1 year of age) - 6 months,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,7 years ,,
Timing of old BCG #3,,14-15 years ,,
Year booster BCG stopped,,1986,,
BCG Strain,,Danish Statens Serum Institute,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2016,,
BCG coverage (%),,26.4% (98.1% of high-risk group),,
Year of changes to BCG schedule,,"1975, 1965, 1986 & 1993",,
Details of changes,,"1965: Stopped revaccinations at 7 years of age; 1975: General vaccination of newborns replaced by selective vaccination of at-risk groups; 1986: Stopped revaccinations at 15 years of age; 1979: Stopped boosters for military conscripts; 1975: Stopped mass mandatory vaccination and targeted only at-risk groups; 1993: Vaccination of at-risk groups postponed to 6 months after birth (however, infants with immediate risk of exposure are still vaccinated at birth) ",,
Are there special groups that receive BCG?,,Yes,,
Details on special/high risk groups,,Healthcare workers and medical students when starting work/studies (once and only if negative TST),,
Why was the policy discontinued? (if applicable),,Low national incidence of TB,,
What was the process of discontinuation? (if applicable) ,,Investigations showed that there was a higher risk of adverse events of the BCG vaccination than being infected with TB ,,
Is TST administered pre-BCG vaccination? ,,Yes,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
BCG Manufacturer ,,Danish Statens Serum Institute ,,
BCG Supply Company ,,Japan BCG Laboratory ,,
How long has this BCG vaccine strain been used? ,,2 years,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Statens Serum Institute was not able to deliver ,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,As needed,,
BCG Policy Link ,,Only in Swedish: https://www.folkhalsomyndigheten.se/pagefiles/20439/rekommendationer-for-preventiva-insatser-mot-tuberkulos-halsokontroll-smittsparning-vaccination-2012-3-16.pdf,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
