Last updated in 2011,,,,Europe & Central Asia
Region,,Middle East & North Africa,,
TB Incidence (per 100 000 per year) * †,,20,,
TB Incidence (Count) * ‡,,3600,,
Income group (World Bank),,Lower middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Timing of 1st BCG?,,At birth,,
Datasource,,Published data,,
Timing of 1st BCG?,,At birth (up to 1 year of age),,
Multiple BCG?,,No,,
Multiple BCG in the past?,,No,,
BCG Strain,,Merieux,,
Is TST done post BCG?,,Yes,,
Year of changes to BCG schedule,,"1960s, 1970s, 1987, 1996 ",,
Details of changes,,1960s: BCG vaccination for tuberculin-negative persons above the age of 12; newborns and infants only in 'high-risk' groups (ex. with TB cases in the family; 1970s: Revaccinations of BCG vaccine for tuberculin-negative children at age 10-12; 1987: Discontinued mass BCG vaccination; 1996: BCG vaccination only for specific groups,,
Are there special groups that receive BCG?,,Yes,,
Details on special/high risk groups,,Infants at increased risk of exposure,,
Why was the policy discontinued? (if applicable),,"Combination of low BCG effectiveness, low number of disseminated cases and/or fatalities that could be prevented, and risk of BCG-it is",,
What was the process of discontinuation? (if applicable) ,,"Discussion among Public Health experts in TB, pulmonologists, and pediatricians",,
Is TST administered pre-BCG vaccination? ,,Yes,,
Location of Administration of BCG Vaccine ,,Left upper arm,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Stockouts are on and off; latest stockout is since November 2016,,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every 3-5 years (when TB guidelines are updated),,
BCG Policy Link ,,http://www.tbinfo.ch/de/publikationen/handbuch-tuberkulose.html; https://www.bag.admin.ch/bag/fr/home/themen/mensch-gesundheit/uebertragbare-krankheiten/impfungen-prophylaxe/informationen-rund-ums-impfen/schweizerischer-impfplan.html,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
How long has this BCG vaccine strain been used? ,,2 years,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Statens Serum Institute was not able to deliver ,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,As needed,,
BCG Policy Link ,,Only in Swedish: https://www.folkhalsomyndigheten.se/pagefiles/20439/rekommendationer-for-preventiva-insatser-mot-tuberkulos-halsokontroll-smittsparning-vaccination-2012-3-16.pdf,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
