Last updated in 2011,,,,Europe & Central Asia
Region,,Sub-Saharan Africa,,
TB Incidence (per 100 000 per year) * †,,52,,
TB Incidence (Count) * ‡,,3800,,
Income group (World Bank),,Low income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Timing of 1st BCG?,,At birth,,
Datasource,,Published data,,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
BCG Strain,,"Tokyo, Thai Red Cross",,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2003,,
BCG coverage (%),,99%,,
Year of changes to BCG schedule,,1987 & 1991,,
Details of changes,,"1987: changed strain from Danish to Tokyo (same manufacturer), 1987-1991: 2 doses of BCG at birth, and 7 yrs (before and after they only used 1 bcg at birth",,
Are there special groups that receive BCG?,,No,,
Datasource,,Questionnaire,,
Is TST administered pre-BCG vaccination? ,,No,,
Location of Administration of BCG Vaccine ,,Left upper arm ,,
BCG Manufacturer ,,Japan BCG Laboratory,,
BCG Supply Company ,,Taiwan CDC and Japan Laboratory,,
How long has this BCG vaccine strain been used? ,,37 years ,,
Were there shortages/stockouts of the vaccine? ,,No ,,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc - Monitor vaccine coverage rate and adverse reactions closely and reassess ,,
BCG Policy Link ,,http://www.cdc.gov.tw/english/list.aspx?treeid=E79C7A9E1E9B1CDF&nowtreeid=9ACA97F87D31282D,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,"No; According to 2011 data, Yes",,
Datasource,,Questionnaire ,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Statens Serum Institute was not able to deliver ,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,As needed,,
BCG Policy Link ,,Only in Swedish: https://www.folkhalsomyndigheten.se/pagefiles/20439/rekommendationer-for-preventiva-insatser-mot-tuberkulos-halsokontroll-smittsparning-vaccination-2012-3-16.pdf,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
