Last updated in 2011,,,,Latin America & Caribbean
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,18,,
TB Incidence (Count) * ‡,,14000,,
Income group (World Bank),,Upper middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,1952,,
Timing of 1st BCG?,,"After birth, within 1 yr",,
Multiple BCG?,,No,,
Multiple BCG in the past?,,Yes,,
Timing of old BCG #2,,7 yrs ,,
Timing of old BCG #3,,14 & 20 yrs,,
Year booster BCG stopped,,"1997: stopped boosters at 14 & 20 yrs, 2006: stopped boosters at 7 yrs",,
BCG Strain,,Serum Institute of India,,
Is TST done post BCG?,,No,,
Year of BCG coverage estimate,,2007,,
BCG coverage (%),,94%,,
Year of changes to BCG schedule,,1997 & 2006,,
Details of changes,,1997: Ceased revaccination at ages 14 and 20. 2006: Ceased revaccination at age 7,,
Are there special groups that receive BCG?,,No,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Is the BCG vaccination policy regularly assessed?,,No ,,
Process of Assessment (if not regular) ,,Ad hoc - Monitor vaccine coverage rate and adverse reactions closely and reassess ,,
BCG Policy Link ,,http://www.cdc.gov.tw/english/list.aspx?treeid=E79C7A9E1E9B1CDF&nowtreeid=9ACA97F87D31282D,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,"No; According to 2011 data, Yes",,
Datasource,,Questionnaire ,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Statens Serum Institute was not able to deliver ,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,As needed,,
BCG Policy Link ,,Only in Swedish: https://www.folkhalsomyndigheten.se/pagefiles/20439/rekommendationer-for-preventiva-insatser-mot-tuberkulos-halsokontroll-smittsparning-vaccination-2012-3-16.pdf,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
