Last updated in 2017,,,,Latin America & Caribbean
Region,,Europe & Central Asia,,
TB Incidence (per 100 000 per year) * †,,91,,
TB Incidence (Count) * ‡,,41000,,
Income group (World Bank),,Lower middle income,,
Current BCG vaccination?,,Yes,,
BCG Recommendation Type,,Current national BCG vaccination policy for all,,
Which year was vaccination introduced?,,> 40 years ago ,,
Timing of 1st BCG?,,After birth (up to 1 year of age) - Between 3-5 days of birth,,
Multiple BCG?,,Yes,,
Timing of BCG #2,,7 yrs,,
BCG Strain,,Bulgaria National Center of Infectious and Parasitic Diseases,,
Is TST done post BCG?,,Yes,,
Year of BCG coverage estimate,,2016,,
BCG coverage (%),,15-45%%,,
Year of changes to BCG schedule,,2015,,
Details of changes,,2015: Second revaccination of vaccine was discontinued ,,
Are there special groups that receive BCG?,,No,,
Is TST administered pre-BCG vaccination? ,,Yes,,
Location of Administration of BCG Vaccine ,,Left upper arm ,,
BCG Manufacturer ,,Bulgaria Intervax ,,
BCG Supply Company ,,Canada Intervax,,
How long has this BCG vaccine strain been used? ,,2 years,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Major stockout of the vaccine during 2015-16,,
Is the BCG vaccination policy regularly assessed?,,Yes,,
How often is the policy assessed? ,,Every 5 years ,,
Additional Comments ,,The policy of revaccination of the BCG vaccine at 7 years of age is currently under thorough revision and may be discontinued in the near future. ,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
Were there shortages/stockouts of the vaccine? ,,Yes,,
Details of shortages/stockouts ,,Statens Serum Institute was not able to deliver ,,
Is the BCG vaccination policy regularly assessed?,,No,,
Process of Assessment (if not regular) ,,As needed,,
BCG Policy Link ,,Only in Swedish: https://www.folkhalsomyndigheten.se/pagefiles/20439/rekommendationer-for-preventiva-insatser-mot-tuberkulos-halsokontroll-smittsparning-vaccination-2012-3-16.pdf,,
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No,,
Datasource,,Questionnaire,,
