Last updated in 2011,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,10
TB Incidence (Count) * ‡,,6600
Income group (World Bank),,High income
Current BCG vaccination?,,No
BCG Recommendation Type,,Past national BCG vaccination policy for all
Which year was vaccination introduced?,,1953
Year BCG stopped?,,2005
Timing of 1st BCG?,,After infancy: 12 or 13 yrs old
Multiple BCG?,,No
Multiple BCG in the past?,,No
BCG Strain,,Evans Medical/Medeva /Changed from Glaxo to Staten in 2005
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2007/2004
BCG coverage (%),,75%
Year of changes to BCG schedule,,2005
Details of changes,,2005: vaccination of adolescents stopped only babies from families at risk get BCG
Are there special groups that receive BCG?,,Yes
Details on special/high risk groups,,"HCW dep on occupation, if TST - and No BCG history receive BCG"
Datasource,,Questionnaire
