Last updated in 2011,,
Region,,Latin America & Caribbean
TB Incidence (per 100 000 per year) * †,,30
TB Incidence (Count) * ‡,,1000
Income group (World Bank),,High income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Which year was vaccination introduced?,,1980
Timing of 1st BCG?,,At birth
Multiple BCG?,,No
Multiple BCG in the past?,,Yes
Timing of old BCG #2,,6-12 yrs
Year booster BCG stopped,,1980-1993
BCG Strain,,Pasteur
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2007
BCG coverage (%),,99.90%
Year of changes to BCG schedule,,1993 & 2008
Details of changes,,"1993: Revaccination stopped for school age, 2008: National BCG production discontinued"
Are there special groups that receive BCG?,,No
Datasource,,Questionnaire
