
ABO and Rh blood type distribution by country (population averages)
Country	Population	O+	A+	B+	AB+	O-	A-	B-	AB-
Albania	2,876,000	28.85%	34.45%	15.66%	10.29%	3.8%	4.47%	0.45%	1.34%
Argentina	41,343,201	45.4%	34.26%	8.59%	2.64%	8.4%	0.44%	0.21%	0.06%
Armenia	2,931,568	29.0%	46.3%	12.0%	5.6%	2.0%	3.7%	1.0%	0.4%
Australia	21,262,641	40.0%	31.0%	8.0%	2.0%	9.0%	7.0%	2.0%	1.0%
Austria	8,210,281	30.0%	33.0%	12.0%	6.0%	7.0%	8.0%	3.0%	1.0%
Bahrain	1,234,571	48.48%	19.35%	22.61%	3.67%	3.27%	1.33%	1.04%	0.25%
Bangladesh	161,083,804	31.18%	21.44%	34.58%	8.85%	1.39%	0.96%	0.96%	0.64%
Belgium	10,414,336	38.0%	34.0%	8.5%	4.1%	7.0%	6.0%	1.5%	0.8%
Bolivia	10,088,108	51.62%	29,45%	10.11%	1,15%	4,39%	2,73%	0,54%	0.1%
Bosnia and Herzegovina	3,792,730	31.0%	36.0%	12.0%	6.0%	5.0%	7.0%	2.0%	1.0%
Brazil	198,739,269	36.0%	34.0%	8.0%	2.5%	9.0%	8.0%	2.0%	0.5%
Bulgaria	7,045,097	28.0%	37.0%	13.0%	7.0%	5.0%	7.0%	2.0%	1.0%
Canada	33,487,208	39.0%	36.0%	7.6%	2.5%	7.0%	6.0%	1.4%	0.5%
Cambodia	14,952,665	46.7%	27.2%	18.5%	4.9%	1.3%	0.8%	0.5%	0.1%
Cameroon	19,958,000	42.8%	38.8%	12.0%	3.3%	1.4%	1.2%	0.4%	0.1%
Chile	17,114,000	85.6%	8.7%	3.35%	0.99%	1.2%	0.1%	0.05%	0.1%
China	1,339,724,852	47.7%	27.8%	18.9%	5.0%	0.3%	0.2%	0.1%	0.03%
Colombia	49,069,267	61.3%	26.11%	2.28%	1.47%	5.13%	2.7%	0.7%	0.31%
Democratic Republic of the Congo	78,740,000	59.5%	21.3%	15.2%	2.4%	1.0%	0.3%	0.2%	0.1%
Croatia	4,207,355	29.0%	36.0%	15.0%	5.0%	5.0%	6.0%	3.0%	1.0%
Cuba	11,480,000	45.55%	32.77%	9.47%	2.35%	5%	3.58%	1.03%	0.25%
Cyprus	1,189,395	35.22%	40.35%	11.11%	4.72%	3.85%	3.48%	0.87%	0.40%
Czech Republic	10,532,770	27.0%	36.0%	15.0%	7.0%	5.0%	6.0%	3.0%	1.0%
Denmark	5,500,510	35.0%	37.0%	8.0%	4.0%	6.0%	7.0%	2.0%	1.0%
Dominican Republic	9,445,281	46,2%	26,4%	16,9%	3,1%	3,7%	2,1%	1,4%	0,2%
Ecuador	16,665,756	75.0%	14.0%	7.1%	0.5%	2.38%	0.7%	0.3%	0.02%
Egypt	90,000,000	52.0%	24.0%	12.4%	3.8%	5.0%	2.0%	0.6%	0.2%
El Salvador	6,171,483	62.0%	23.0%	11.0%	1.0%	1.0%	1.0%	0.7%	0.3%
Estonia	1,299,371	29.5%	30.8%	20.79%	6.4%	4.3%	4.5%	3.0%	0.9%
Ethiopia	84,320,987	39.0%	28.0%	21.0%	5.0%	3.0%	2.0%	1.0%	1.0%
Fiji	912,208	43.0%	33.3%	16.5%	4.8%	1.0%	0.7%	0.5%	0.2%
Finland	5,250,275	27.0%	38.0%	15.0%	7.0%	4.0%	6.0%	2.0%	1.0%
France	62,150,775	36.0%	37.0%	9.0%	3.0%	6.0%	7.0%	1.0%	1.0%
Germany	82,329,758	35.0%	37.0%	9.0%	4.0%	6.0%	6.0%	2.0%	1.0%
Ghana	28,308,301	53.8%	17.6%	18.3%	2.8%	4.5%	1.3%	1.3%	0.2%
Greece	10,892,849	37.4%	32.9%	11.0%	3.7%	7.0%	5.0%	2.0%	1.0%
Guinea	10,324,000	46.88%	21.64%	22.86%	4.52%	2.0%	0.9%	1.0%	0.2%
Honduras	9,348,898	57.5%	27.0%	7.8%	2.5%	2.7%	1.7%	0.6%	0.2%
Hong Kong	7,055,071	41.51%	26.13%	25.34%	6.35%	0.32%	0.17%	0.14%	0.05%
Hungary	9,787,801	27.0%	33.0%	16.0%	8.0%	5.0%	7.0%	3.0%	1.0%
Iceland	306,694	47.6%	26.4%	9.3%	1.6%	8.4%	4.6%	1.7%	0.4%
India	1,210,193,422	27.85%	20.8%	38.13%	8.93%	1.43%	0.57%	1.79%	0.49%
Indonesia	237,424,363	36.82%	25.87%	28.85%	7.96%	0.18%	0.13%	0.15%	0.04%
Iran	80,982,137	33.5%	27.0%	22.2%	7.0%	4.0%	3.0%	2.5%	0.8%
Iraq	32,961,959	32.2%	25.0%	25.6%	7.4%	3.6%	2.7%	2.7%	0.9%
Ireland	4,203,200	47.0%	26.0%	9.0%	2.0%	8.0%	5.0%	2.0%	1.0%
Israel	7,233,701	32.0%	34.0%	17.0%	7.0%	3.0%	4.0%	2.0%	1.0%
