Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20
,Afghanistan,33.0,65.0,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,95.625,58.541666666666664,86.91666666666667,95.625,95.625,95.625,95.625,62.375,63.416666666666664,90.25,79.125,60.583333333333336,48.791666666666664,51.708333333333336,64.54166666666667,60.041666666666664,68.79166666666667,50.958333333333336,55.625,65.5,67.58333333333333
,Albania,41.1533,20.1683,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,58.625,56.416666666666664,54.875,60.416666666666664,77.125,55.25,45.208333333333336,42.208333333333336,42.291666666666664,45.125,50.125,57.291666666666664,77.04166666666667,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,73.91666666666667,72.1304347826087,63.125,62.791666666666664,87.875,72.25,77.45833333333333,71.25,63.75,53.166666666666664,29.791666666666668,31.083333333333332,32.291666666666664,37.458333333333336
,Algeria,28.0339,1.6596,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,22.0,16.0,9.75,5.333333333333333,7.208333333333333,9.25,14.583333333333334,14.791666666666666,14.708333333333334,22.75,21.083333333333332,9.666666666666666,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334,13.583333333333334,36.333333333333336,30.375,12.25,7.5,6.0,12.958333333333334,11.875,10.541666666666666,9.125,13.791666666666666,12.166666666666666,12.041666666666666,10.125
,Andorra,42.5063,1.5218,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,61.291666666666664,64.75,90.45833333333333,90.45833333333333,90.45833333333333,90.45833333333333,60.166666666666664,55.52173913043478,77.875,77.79166666666667,78.04166666666667,75.5,62.041666666666664,49.916666666666664,56.666666666666664,73.5,80.33333333333333,78.08333333333333,73.125,68.08333333333333
,Angola,-11.2027,17.8739,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,78.04166666666667,84.91666666666667,90.625,80.375,78.45833333333333,79.95833333333333,94.625,88.58333333333333,88.33333333333333,85.125,82.16666666666667,84.29166666666667,88.79166666666667,81.75,93.66666666666667
,Antigua and Barbuda,17.0608,-61.7964,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,79.625,88.58333333333333,84.08333333333333,84.5,87.16666666666667,80.20833333333333,75.79166666666667,88.625,85.75,89.41666666666667,91.0,90.66666666666667,89.5,89.16666666666667,90.70833333333333
,Argentina,-38.4161,-63.6167,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,19.625,44.333333333333336,49.583333333333336,80.58333333333333,68.79166666666667,70.33333333333333,27.833333333333332,53.791666666666664,49.916666666666664,84.70833333333333,82.04166666666667,52.75,47.416666666666664,42.458333333333336,59.041666666666664,46.583333333333336,41.25,41.25,41.25,41.291666666666664,64.75,73.25,84.5,83.41666666666667,74.04166666666667,54.625,52.875,45.375,54.458333333333336,29.041666666666668,31.875,36.416666666666664,50.541666666666664,50.458333333333336
,Armenia,40.0691,45.0382,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.20833333333333,71.25,95.83333333333333,100.0,88.95833333333333,83.83333333333333,90.125,84.70833333333333,89.33333333333333,98.79166666666667,80.83333333333333,96.625,78.95833333333333,62.291666666666664,64.125,76.04166666666667
Australian Capital Territory,Australia,-35.4735,149.0124,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,70.70833333333333,76.79166666666667,82.91666666666667,87.08333333333333,77.91666666666667,74.04166666666667,93.625,84.04166666666667,79.0,71.56,74.45833333333333,79.33333333333333,86.54166666666667,82.20833333333333,85.70833333333333
New South Wales,Australia,-33.8688,151.2093,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,90.29166666666667,93.58333333333333,91.125,83.04166666666667,79.54166666666667,81.79166666666667,75.79166666666667,73.70833333333333,72.20833333333333,72.83333333333333,85.5,80.70833333333333,84.20833333333333,78.75,75.41666666666667,69.875,61.125,77.70833333333333,78.5,78.375,73.04166666666667,73.04166666666667,73.04166666666667,73.04166666666667,82.70833333333333,90.29166666666667,87.08333333333333,86.83333333333333,92.20833333333333,86.16666666666667,86.16666666666667,68.54166666666667,53.72,69.75,80.125,84.875,87.625,93.95833333333333
