Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20
,Afghanistan,33.0,65.0,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,9.90875,11.360416666666666,9.90875,9.90875,9.90875,9.90875,9.912916666666666,10.565416666666666,9.917916666666665,9.15125,10.402916666666668,10.455833333333333,11.140416666666667,14.014583333333334,12.852083333333333,13.083333333333334,11.259166666666667,11.865833333333335,13.89333333333333,13.997916666666669,14.586250000000001,14.6325,15.966666666666669,15.660833333333334,11.929583333333333,12.067916666666667,11.816250000000002,12.454583333333332,13.411666666666667,13.391666666666666,13.913333333333332,15.768333333333333,17.623749999999998,16.640833333333333,16.598333333333333,18.434166666666666
,Albania,41.1533,20.1683,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,6.3675,8.845833333333333,12.910833333333334,14.135,14.067916666666667,9.847083333333332,8.114166666666668,8.439583333333333,11.328333333333333,11.158333333333333,12.022916666666667,12.871249999999998,12.858333333333334,6.3675,6.3675,6.3675,6.3675,6.597083333333333,9.70375,10.900434782608697,12.275,11.800833333333332,6.099166666666666,5.885833333333333,8.51375,11.061250000000001,11.969999999999999,12.524583333333334,12.906666666666666,13.200833333333334,14.39875,15.447083333333333,16.396666666666665,16.811666666666667,15.315833333333336,12.782916666666667,10.546249999999999,12.433333333333332,13.694166666666668,15.439583333333331,16.323333333333334,17.11375,15.297083333333333,11.19625,9.678333333333333,12.353333333333333,13.328333333333333
,Algeria,28.0339,1.6596,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,19.034583333333334,20.5925,22.735000000000003,24.190833333333334,23.007499999999997,22.224166666666665,22.88625,23.13958333333333,19.140833333333333,19.596666666666664,21.540000000000003,22.660416666666663,22.660416666666663,22.660416666666663,22.660416666666663,22.838750000000005,21.8275,20.32875,19.546666666666667,22.02333333333333,23.765,24.420833333333334,22.214166666666667,21.8025,22.341250000000002,23.264999999999997,24.711249999999996,25.454166666666666,25.868333333333336,27.485,28.676666666666666,30.0,29.067499999999995,28.405416666666667,23.18083333333333,25.568749999999994,28.75125,29.854583333333334,18.16208333333333,19.622083333333332,23.264166666666664,24.528333333333336,24.943749999999994,27.75,27.046666666666667
,Andorra,42.5063,1.5218,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.610416666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.491666666666666,5.584166666666667,4.810833333333334,5.7156521739130435,3.0387500000000003,4.783333333333334,6.2075,5.9695833333333335,5.847916666666666,7.210416666666667,7.164583333333333,8.049583333333333,8.455416666666666,9.774583333333334,9.976666666666667,10.343333333333334,10.17375,9.15375,7.7299999999999995,10.166666666666666,10.225416666666666,11.564166666666665,12.428749999999999,13.202083333333333,11.857916666666666,10.31,9.252916666666666,9.542916666666665,10.219999999999999,11.554583333333333,11.22625
,Angola,-11.2027,17.8739,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.600833333333338,22.420416666666668,21.690416666666664,20.260833333333334,22.230416666666667,23.40958333333333,23.860416666666666,21.52291666666667,21.160833333333333,21.3925,21.60166666666667,22.343333333333334,22.44541666666667,21.167916666666667,22.607916666666668,20.6175,20.969166666666666,21.91416666666667,22.137916666666666,22.845416666666665,22.14,22.797083333333333,22.242499999999996,20.4675,20.236666666666665,21.377499999999998,21.418333333333333,21.309166666666666,21.354583333333334,20.74,21.169999999999998
,Antigua and Barbuda,17.0608,-61.7964,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.03333333333333,25.10375,25.71041666666667,25.68208333333334,25.017500000000002,24.679166666666664,25.323333333333334,25.616249999999997,25.67958333333333,26.24625,26.843333333333334,26.79291666666667,26.71375,26.62333333333333,26.79583333333333,26.847499999999997,26.929999999999996,27.025000000000002,26.649166666666662,26.569166666666664,26.16416666666667,26.27458333333333,26.425833333333333,26.40041666666667,26.262916666666666,26.212500000000002,26.560000000000002,26.525833333333328,26.542916666666667,26.424166666666668,26.735
,Argentina,-38.4161,-63.6167,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,23.034166666666668,21.429999999999996,22.832916666666666,22.89125,24.302916666666665,25.815416666666668,19.647499999999997,18.27625,20.360833333333332,21.31416666666667,18.14708333333333,19.712916666666665,21.161666666666665,24.409999999999997,24.661666666666665,27.800833333333333,27.800833333333333,27.800833333333333,27.800833333333333,27.942083333333333,24.20875,18.911666666666665,16.333333333333332,15.457083333333335,17.907083333333333,15.831666666666669,15.67875,17.67375,17.015833333333333,13.065416666666666,11.724166666666667,13.912916666666666,17.125,18.55375,18.647916666666664,16.014583333333334,15.183333333333335,13.888333333333334,15.41125,19.947916666666668,21.551666666666666,22.927916666666665,21.366666666666664,16.82041666666667,13.573333333333332,15.702916666666667,17.29,18.1475,16.884583333333335
,Armenia,40.0691,45.0382,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.7791666666666663,-2.6220833333333333,0.5299999999999999,-1.1112499999999998,-3.1058333333333334,-3.079166666666667,-1.985,-2.0066666666666664,-1.66625,-2.3029166666666665,-0.5954166666666667,0.32166666666666666,-2.807916666666667,-5.40625,-3.339166666666667,-2.143333333333333,-3.729583333333333,-3.5916666666666663,-4.117500000000001,-1.9558333333333335,0.5816666666666667,0.3108333333333333,1.38,3.4654166666666666,2.670833333333333,2.4495833333333334,1.8983333333333334,2.46625,0.38625000000000004,-3.850833333333334,-1.7970833333333334
Australian Capital Territory,Australia,-35.4735,149.0124,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.64125,13.683333333333335,13.335416666666667,15.45875,16.56083333333333,15.549999999999999,16.34375,14.729999999999999,13.857083333333334,12.542083333333332,10.127199999999998,13.121249999999998,12.205416666666665,11.792916666666665,12.31875,13.297916666666667,10.4,8.75625,10.37375,12.9225,15.504583333333334,16.112083333333334,12.6875,10.352083333333333,10.175416666666667,10.615833333333333,11.051250000000001,11.567083333333334,10.655,13.134583333333332,11.437083333333334
New South Wales,Australia,-33.8688,151.2093,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,22.31375,22.99791666666667,22.9325,20.89125,19.849583333333335,19.414166666666667,19.9175,20.219166666666666,20.667083333333334,20.354166666666668,17.64875,17.862083333333334,18.989583333333332,19.451666666666664,19.949166666666667,22.30583333333333,25.728333333333335,21.64375,21.74541666666667,19.419999999999998,19.419999999999998,19.419999999999998,19.419999999999998,19.4725,19.27375,20.969166666666666,21.372500000000002,21.13875,21.557083333333335,21.96166666666667,21.065416666666668,21.481250000000003,17.9904,17.863333333333333,18.0775,17.818749999999998,19.07125,18.268749999999997,18.423333333333332,16.08875,16.459583333333335,18.29125,20.16625,22.336249999999996,21.08625,17.702083333333334,16.88625,17.769583333333333,18.660833333333333,19.072916666666668,18.267500000000002,20.36666666666667,19.594583333333333
