Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20
,Afghanistan,33.0,65.0,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,2.137083333333333,1.265,1.265,1.265,1.265,1.265,1.7216666666666665,1.4920833333333334,1.66875,2.0758333333333336,1.5737500000000002,1.5525,1.7583333333333335,1.9241666666666666,2.0175,2.8058333333333336
,Albania,41.1533,20.1683,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.2225,1.3545833333333335,1.2533333333333332,1.4429166666666668,1.8412499999999998,3.1175,1.5245833333333334,1.7779166666666668,1.7541666666666667,1.235,1.3279166666666666,1.3329166666666667,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.5983333333333334,1.0670833333333334,0.9234782608695653,1.6108333333333331,1.6608333333333334,1.1091666666666666,1.3608333333333331,1.3929166666666666,3.2445833333333334,3.5241666666666673,3.17
,Algeria,28.0339,1.6596,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,8.225833333333334,4.554583333333333,4.057916666666666,4.618333333333333,5.890000000000001,2.0108333333333333,5.5275,6.642500000000001,5.366666666666667,3.2687500000000003,4.6066666666666665,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,6.040416666666666,4.7283333333333335,4.435833333333334,3.1954166666666666,5.010000000000001,4.053333333333334,5.730833333333334,5.380833333333334,6.415833333333334,5.259166666666666,6.095
,Andorra,42.5063,1.5218,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.915,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9550000000000001,1.1187500000000001,1.7886956521739135,1.3370833333333334,1.1095833333333334,0.9541666666666666,1.0054166666666666,1.8208333333333335,1.4108333333333334,1.7045833333333331,1.13875
,Angola,-11.2027,17.8739,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,1.3220833333333333,0.9654166666666667,1.4941666666666666,0.9525,1.2966666666666666,1.5125,1.5216666666666667,1.36125,1.4395833333333332,0.9904166666666668,0.9483333333333333
,Antigua and Barbuda,17.0608,-61.7964,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,8.758333333333333,7.34875,8.092916666666667,7.183333333333334,5.10125,4.72625,4.729583333333333,3.5775,1.9204166666666669,3.1195833333333334,4.1433333333333335
,Argentina,-38.4161,-63.6167,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,4.269583333333333,5.049166666666667,5.364999999999999,5.452500000000001,4.700833333333333,4.855416666666667,4.51625,2.085,5.8,5.037083333333334,3.1662500000000002,3.9499999999999997,3.0325,4.476666666666667,3.9233333333333333,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,7.786666666666666,4.227916666666666,4.93375,4.629166666666666,3.987916666666667,3.9600000000000004,3.0795833333333333,4.5625,4.57125,3.3891666666666667,4.017916666666666
,Armenia,40.0691,45.0382,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.529583333333333,1.6154166666666665,1.8237500000000002,2.1666666666666665,2.3520833333333333,1.8983333333333334,2.2341666666666664,1.9774999999999998,1.6816666666666666,1.6783333333333335,2.064166666666667
Australian Capital Territory,Australia,-35.4735,149.0124,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.8345833333333335,1.2070833333333335,1.4283333333333335,1.7320833333333334,1.3054166666666667,1.1404166666666666,1.9012499999999999,1.4966666666666668,4.890833333333333,4.3976,1.6929166666666664
New South Wales,Australia,-33.8688,151.2093,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,4.5808333333333335,6.797916666666667,4.62625,5.8775,4.062916666666666,3.6354166666666665,2.4608333333333334,2.7516666666666665,2.77375,3.1666666666666665,7.354166666666667,6.685416666666668,5.7375,3.452083333333333,2.955833333333333,2.835416666666667,3.6029166666666668,3.38125,3.796666666666667,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,5.747916666666666,2.5329166666666665,4.65375,3.1179166666666664,3.0749999999999997,3.7537499999999997,4.261666666666667,3.5016666666666665,6.380833333333334,3.6403999999999996,3.9112500000000003
